Transaction ID,Date,Receiver,Amount (USD),Transaction Type,Account Balance (USD)
TXN1038,2025-03-25,Airbnb,103.3,Debit,17720.23
TXN0001,2024-02-10,Nike Store,385.26,Debit,5354.97
TXN0002,2024-01-08,Apple Store,72.91,Debit,7896.95
TXN0003,2024-01-02,Airline Tickets,242.89,Credit,9923.93
TXN0004,2024-02-17,Equity Investments,279.4,Credit,17965.29
TXN0005,2024-01-18,Electronic Gadgets,139.88,Credit,19503.34
TXN0006,2024-01-16,Gym Membership,437.49,Debit,9186.87
TXN0007,2024-01-15,Equity Investments,217.34,Credit,14622.23
TXN0008,2024-01-09,Tesla Supercharger,113.78,Debit,10995.18
TXN0009,2024-02-17,Airbnb,274.26,Credit,19717.25
TXN0010,2024-01-07,Nike Store,367.67,Credit,13043.24
TXN0011,2024-02-13,Electronic Gadgets,108.56,Debit,19088.56
TXN0012,2024-02-17,Gym Membership,162.74,Credit,6730.13
TXN0013,2024-02-27,Spotify,497.62,Credit,19556.01
TXN0014,2024-02-04,Netflix,328.44,Credit,7678.52
TXN0015,2024-01-06,Gym Membership,224.67,Debit,19438.01
TXN0016,2024-02-07,Netflix,263.61,Debit,8982.0
TXN0017,2024-01-28,Spotify,69.29,Credit,6626.04
TXN0018,2024-01-03,Airbnb,120.1,Debit,11518.46
TXN0019,2024-01-02,Nike Store,175.66,Debit,15928.18
TXN0020,2024-01-06,Apple Store,298.27,Debit,9705.16
TXN0021,2024-01-14,Mutual Funds,122.76,Credit,14093.13
TXN0022,2024-01-15,Hotel Booking,117.91,Debit,12671.35
TXN0023,2024-02-02,Spotify,44.79,Credit,10777.93
TXN0024,2024-02-08,Mutual Funds,319.24,Debit,13648.82
TXN0025,2024-01-02,Costco,122.18,Debit,8820.84
TXN0026,2024-02-05,Airbnb,453.66,Credit,15631.78
TXN0027,2024-01-13,Tesla Supercharger,431.22,Credit,5025.37
TXN0028,2024-02-15,Uber,44.72,Debit,18883.63
TXN0029,2024-02-11,Nike Store,126.62,Credit,13076.78
TXN0030,2024-02-14,Uber,337.8,Credit,15791.45
TXN0031,2024-02-04,Gym Membership,114.98,Debit,16129.25
TXN0032,2024-01-27,Electronic Gadgets,74.83,Credit,15059.43
TXN0033,2024-01-15,Electronic Gadgets,468.4,Debit,10463.32
TXN0034,2024-01-29,Nike Store,289.81,Debit,6049.61
TXN0035,2024-02-07,Hotel Booking,241.61,Credit,14963.57
TXN0036,2024-01-18,Insurance Premium,394.46,Debit,9953.0
TXN0037,2024-02-21,Hotel Booking,405.67,Debit,9708.73
TXN0038,2024-02-25,Airbnb,103.3,Debit,17720.23
TXN0039,2024-01-01,Restaurant Dine-in,57.5,Credit,15796.31
TXN0040,2024-02-18,Gym Membership,221.22,Credit,9504.83
TXN0041,2024-02-21,Uber,217.55,Debit,9639.27
TXN0042,2024-01-11,Walmart,238.84,Credit,11125.89
TXN0043,2024-02-14,Costco,367.25,Debit,11036.01
TXN0044,2024-01-28,Apple Store,339.95,Credit,9434.83
TXN0045,2024-01-22,Netflix,492.24,Credit,6909.32
TXN0046,2024-01-18,Starbucks,58.22,Credit,11306.7
TXN0047,2024-01-10,Uber,207.28,Debit,19105.46
TXN0048,2024-01-14,Equity Investments,176.26,Debit,15159.77
TXN0049,2024-02-18,Insurance Premium,432.22,Credit,18542.08
TXN0050,2024-01-22,Airline Tickets,131.84,Credit,14232.72
TXN0051,2024-01-07,Apple Store,103.2,Debit,9514.25
TXN0052,2024-01-06,Airbnb,229.82,Debit,13219.06
TXN0053,2024-01-25,Airbnb,216.72,Credit,5006.09
TXN0054,2024-01-07,Airline Tickets,146.49,Debit,9303.71
TXN0055,2024-01-23,Tesla Supercharger,132.41,Credit,11448.32
TXN0056,2024-02-24,Walmart,462.4,Debit,13699.77
TXN0057,2024-01-23,Nike Store,227.13,Credit,14820.58
TXN0058,2024-02-08,Electronic Gadgets,432.06,Credit,11974.82
TXN0059,2024-01-17,Amazon,279.66,Debit,11632.4
TXN0060,2024-02-21,Starbucks,34.79,Debit,8205.52
TXN0061,2024-01-03,Electronic Gadgets,499.65,Debit,12097.79
TXN0062,2024-02-16,Nike Store,419.65,Debit,18517.71
TXN0063,2024-01-30,Spotify,484.81,Debit,16940.37
TXN0064,2024-02-04,Starbucks,463.92,Credit,7545.37
TXN0065,2024-01-08,Best Buy,425.86,Debit,6271.93
TXN0066,2024-02-29,Insurance Premium,91.49,Credit,12731.78
TXN0067,2024-01-25,Equity Investments,247.96,Debit,14494.11
TXN0068,2024-01-06,Tesla Supercharger,114.74,Debit,10027.82
TXN0069,2024-02-05,Amazon,206.51,Credit,17276.35
TXN0070,2024-01-19,Nike Store,38.73,Credit,16267.07
TXN0071,2024-02-23,Walmart,195.7,Debit,15091.94
TXN0072,2024-02-10,Equity Investments,492.8,Credit,8369.61
TXN0073,2024-02-09,Walmart,139.95,Debit,7986.95
TXN0074,2024-02-26,Starbucks,394.19,Debit,5366.38
TXN0075,2024-02-25,Best Buy,232.95,Debit,8672.64
TXN0076,2024-01-24,Walmart,217.27,Credit,12127.05
TXN0077,2024-02-06,Airline Tickets,479.09,Credit,17746.07
TXN0078,2024-01-13,Mutual Funds,497.76,Debit,6092.42
TXN0079,2024-02-15,Uber,282.33,Debit,11216.62
TXN0080,2024-01-05,Restaurant Dine-in,362.02,Debit,14446.48
TXN0081,2024-01-03,Equity Investments,85.85,Debit,7916.53
TXN0082,2024-02-12,Electronic Gadgets,155.39,Credit,15445.31
TXN0083,2024-01-15,Walmart,484.67,Debit,12415.66
TXN0084,2024-02-19,Amazon,293.8,Debit,8659.77
TXN0085,2024-01-19,Airline Tickets,275.68,Credit,14840.87
TXN0086,2024-01-06,Spotify,376.51,Credit,5083.17
TXN0087,2024-02-24,Costco,38.01,Debit,16264.47
TXN0088,2024-01-15,Amazon,296.25,Credit,16550.69
TXN0089,2024-02-25,Starbucks,256.4,Debit,6598.81
TXN0090,2024-01-07,Restaurant Dine-in,427.83,Debit,11377.19
TXN0091,2024-01-25,Best Buy,87.14,Credit,7638.3
TXN0092,2024-01-18,Gym Membership,480.78,Debit,19369.49
TXN0093,2024-01-30,Netflix,49.25,Credit,12769.37
TXN0094,2024-02-10,Gym Membership,101.05,Debit,5753.28
TXN0095,2024-02-23,Hotel Booking,301.57,Debit,8737.97
TXN0096,2024-01-24,Apple Store,340.85,Credit,17725.05
TXN0097,2024-01-11,Apple Store,125.25,Credit,11846.93
TXN0098,2024-01-24,Costco,68.74,Credit,17021.25
TXN0099,2024-01-23,Apple Store,446.24,Debit,15013.67
TXN0100,2024-01-14,Electronic Gadgets,130.65,Debit,19818.39
